Company,Sector,Cluster
AFMA,Insurance,1
Afric Indus,Construction & Building Materials,3
Afriquia Gaz,Oil & Gas,1
Agma,Insurance,1
Alliances,Real estate participation and promotion,2
Aluminium Maroc,Construction & Building Materials,0
ATLANTASANAD,Insurance,1
Attijariwafa,Banks,3
Auto Hall,Distributors,3
Auto Nejma,Distributors,2
BALIMA,Real estate investment companies,3
BCP,Banks,3
BMCI,Banks,0
Cartier Saada,Food producers & Processors,0
CDM,Banks,0
CIH,Banks,3
Ciments Maroc,Construction & Building Materials,3
Colorado,Construction & Building Materials,0
COSUMAR,Food producers & Processors,2
CTM,Transport,0
Dari Couspate,Food producers & Processors,1
Delattre Lev,Engineering & Equipment Industrial Goods,2
Delta Holding,Holding Companies,0
DISWAY,"Materials,Software & Computer Services",1
Ennakl,Distributors,2
EQDOM,Investment Companies & Other Finance,1
FENIE BROSSETTE,Distributors,3
HPS,"Materials,Software & Computer Services",1
IBMaroc,"Materials,Software & Computer Services",2
INVOLYS,"Materials,Software & Computer Services",0
Maroc Telecom,Telecommunications,3
Jet Contractors,Construction & Building Materials,0
LABEL VIE,Distributors,1
LafargeHolcim,Construction & Building Materials,3
Lesieur Cristal,Food producers & Processors,1
Lydec,Utilities,2
M2M Group,"Materials,Software & Computer Services",1
Maghreb Oxygene,Chemicals,1
Maghrebail,Investment Companies & Other Finance,2
Managem,Mining,3
Maroc Leasing,Investment Companies & Other Finance,0
Med Paper,Forestry & Paper,2
Microdata,"Materials,Software & Computer Services",1
Oulmes,Beverages,2
PROMOPHARM,Pharmaceutical Industry,2
Rebab Company,Mining,2
Res.Dar Saada,Real estate participation and promotion,2
Risma,Leisures and Hotels,0
Saham Assurance,Insurance,0
SALAFIN,Investment Companies & Other Finance,2
SMI,Mining,2
SNEP,Chemicals,3
Ste Boissons,Beverages,0
SODEP,Transportation Services,1
Sonasid,Construction & Building Materials,3
Stokvis Nord Afr,Distributors,2
STROC Indus,Engineering & Equipment Industrial Goods,2
TAQA Morocco,Electricity,1
Timar,Transport,2
Total Maroc,Oil & Gas,3
Unimer,Food producers & Processors,2
Wafa Assur,Insurance,3
Zellidja,Holding Companies,2
