0,ISIN code,Instrument,Sector,Compartment,Instruments constituting the share capital
2,MA0000012296,AFMA,Insurance,Principal B,1 000 000
3,MA0000012114,Afric Indus,Construction & Building Materials,Principal B,291 500
4,MA0000010951,Afriquia Gaz,Oil & Gas,Principal A,3 437 500
5,MA0000010944,Agma,Insurance,Alternative A,200 000
6,MA0000011819,Alliances,Real estate participation and promotion,Principal B,22 078 588
7,MA0000010936,Aluminium Maroc,Construction & Building Materials,Principal B,465 954
8,MA0000012460,Aradei Capital,Real estate investment companies,Principal F,10 645 783
9,MA0000011710,ATLANTASANAD,Insurance,Principal A,60 283 595
10,MA0000012445,Attijariwafa,Banks,Principal A,215 140 839
11,MA0000010969,Auto Hall,Distributors,Principal A,50 294 528
12,MA0000011009,Auto Nejma,Distributors,Principal B,1 023 264
13,MA0000011991,BALIMA,Real estate investment companies,Principal B,1 744 000
14,MA0000012437,BANK OF AFRICA,Banks,Principal A,205 606 648
15,MA0000011884,BCP,Banks,Principal A,203 312 473
16,MA0000010811,BMCI,Banks,Principal A,13 279 286
17,MA0000011868,Cartier Saada,Food producers & Processors,Principal B,5 265 000
18,MA0000010381,CDM,Banks,Principal A,10 881 214
19,MA0000012049,Centrale.Danone,Food producers & Processors,Principal B,9 420 000
20,MA0000011454,CIH,Banks,Principal A,28 324 735
21,MA0000010506,Ciments Maroc,Construction & Building Materials,Principal A,14 436 004
22,MA0000011934,Colorado,Construction & Building Materials,Principal B,12 088 208
23,MA0000012247,COSUMAR,Food producers & Processors,Principal A,94 487 143
24,MA0000010340,CTM,Transport,Principal B,1 225 978
25,MA0000011421,Dari Couspate,Food producers & Processors,Principal B,298 375
26,MA0000011777,Delattre Lev,Engineering & Equipment Industrial Goods,Principal B,1 250 000
27,MA0000011850,Delta Holding,Holding Companies,Principal B,87 600 000
28,MA0000010639,Diac Salaf,Investment Companies & Other Finance,Principal B,1 053 404
29,MA0000011637,DISWAY,"Materials,Software & Computer Services",Principal B,1 885 762
30,MA0000011512,DOUJA PROM ADDOHA,Real estate participation and promotion,Principal B,402 551 254
31,MA0000011942,Ennakl,Distributors,Principal B,30 000 000
32,MA0000010357,EQDOM,Investment Companies & Other Finance,Principal B,1 670 250
33,MA0000011587,FENIE BROSSETTE,Distributors,Principal B,1 438 984
34,MA0000011611,HPS,"Materials,Software & Computer Services",Principal B,703 599
35,MA0000011132,IBMaroc,"Materials,Software & Computer Services",Principal B,417 486
36,MA0000012387,Immr Invest,Real estate investment companies,Principal B,9 007 000
37,MA0000011579,INVOLYS,"Materials,Software & Computer Services",Alternative A,382 716
38,MA0000011488,Maroc Telecom,Telecommunications,Principal A,879 095 340
39,MA0000012080,Jet Contractors,Construction & Building Materials,Principal B,3 029 522
40,MA0000011801,LABEL VIE,Distributors,Principal A,2 838 962
41,MA0000012320,LafargeHolcim,Construction & Building Materials,Principal A,23 431 240
42,MA0000012031,Lesieur Cristal,Food producers & Processors,Principal A,27 631 510
43,MA0000011439,Lydec,Utilities,Principal B,8 000 000
44,MA0000011678,M2M Group,"Materials,Software & Computer Services",Principal B,647 777
45,MA0000010985,Maghreb Oxygene,Chemicals,Principal B,812 500
46,MA0000011215,Maghrebail,Investment Companies & Other Finance,Principal B,1 384 182
47,MA0000011058,Managem,Mining,Principal A,9 991 308
48,MA0000010035,Maroc Leasing,Investment Companies & Other Finance,Principal B,2 776 768
49,MA0000011447,Med Paper,Forestry & Paper,Principal B,2 582 555
50,MA0000012163,Microdata,"Materials,Software & Computer Services",Alternative A,1 680 000
51,MA0000011793,MINIERE TOUISSIT,Mining,Principal B,1 681 233
52,MA0000012395,Mutandis,Food producers & Processors,Principal B,7 996 737
53,MA0000010415,Oulmes,Beverages,Principal B,1 980 000
54,MA0000011660,PROMOPHARM,Pharmaceutical Industry,Principal B,1 000 000
55,MA0000011595,REALISATIONS MECANIQUES,Distributors,Principal B,320 000
56,MA0000010993,Rebab Company,Mining,Principal B,176 456
57,MA0000012239,Res.Dar Saada,Real estate participation and promotion,Principal B,26 208 850
58,MA0000011462,Risma,Leisures and Hotels,Principal B,14 326 947
59,MA0000012106,S.M MONETIQUE,"Materials,Software & Computer Services",Principal B,812 070
60,MA0000012007,Saham Assurance,Insurance,Principal A,4 116 874
61,MA0000011744,SALAFIN,Investment Companies & Other Finance,Principal B,3 124 119
62,MA0000010803,SAMIR,Oil & Gas,Principal B,11 899 665
63,MA0000010068,SMI,Mining,Principal B,1 645 090
64,MA0000011728,SNEP,Chemicals,Principal B,2 400 000
65,MA0000010365,Ste Boissons,Beverages,Principal A,2 829 653
66,MA0000012312,SODEP,Transportation Services,Principal A,73 395 600
67,MA0000010019,Sonasid,Construction & Building Materials,Principal B,3 900 000
68,MA0000012502,SOTHEMA,Pharmaceutical Industry,Principal A,7 200 000
69,MA0000011843,Stokvis Nord Afr,Distributors,Principal B,9 195 150
70,MA0000012056,STROC Indus,Engineering & Equipment Industrial Goods,Principal B,1 248 515
71,MA0000012205,TAQA Morocco,Electricity,Principal A,23 588 542
72,MA0000012528,TGCC S.A,Construction & Building Materials,Principal F,31 639 850
73,MA0000011686,Timar,Transport,Principal B,301 100
74,MA0000012262,Total Maroc,Oil & Gas,Principal A,8 960 000
75,MA0000012023,Unimer,Food producers & Processors,Principal B,11 413 880
76,MA0000010928,Wafa Assur,Insurance,Principal A,3 500 000
77,MA0000010571,Zellidja,Holding Companies,Principal B,572 849
